message_id,step,model,prompt_tokens,completion_tokens,cost_usd
35,1-classify,fast-car,72,7,0.000107
35,2-extract,fast-car,55,17,0.00014
35,3-draft,fast-car,96,81,0.000501
35,4-check,fast-car,121,5,0.000146
36,1-classify,fast-car,82,7,0.000117
36,2-extract,fast-car,65,17,0.00015000000000000001
36,3-draft,fast-car,106,82,0.0005160000000000001
36,4-check,fast-car,132,5,0.000157
37,1-classify,fast-car,88,7,0.000123
37,2-extract,fast-car,71,17,0.000156
37,3-draft,fast-car,112,78,0.0005020000000000001
37,4-check,fast-car,134,5,0.00015900000000000002
38,1-classify,fast-car,84,7,0.00011899999999999999
38,2-extract,fast-car,67,17,0.000152
38,3-draft,fast-car,108,87,0.0005430000000000001
38,4-check,fast-car,139,5,0.000164
39,1-classify,fast-car,80,7,0.000115
39,2-extract,fast-car,63,16,0.000143
39,3-draft,fast-car,103,74,0.00047300000000000006
39,4-check,fast-car,122,41,0.00032700000000000003
40,1-classify,fast-car,83,7,0.000118
40,2-extract,fast-car,66,19,0.000161
40,3-draft,fast-car,109,79,0.000504
40,4-check,fast-car,130,5,0.000155
41,1-classify,fast-car,129,7,0.000164
41,2-extract,race-car,112,18,0.000606
41,3-draft,race-car,154,114,0.0021720000000000003
41,4-check,race-car,211,5,0.000708
42,1-classify,fast-car,138,7,0.000173
42,2-extract,race-car,121,17,0.0006180000000000001
42,3-draft,race-car,162,320,0.005286000000000001
42,4-check,race-car,426,5,0.001353
43,1-classify,fast-car,119,7,0.000154
43,2-extract,race-car,102,16,0.000546
43,3-draft,race-car,142,322,0.005256
43,4-check,race-car,409,5,0.001302
44,1-classify,fast-car,115,7,0.00015
44,2-extract,race-car,98,19,0.000579
44,3-draft,race-car,141,310,0.005073
44,4-check,race-car,393,5,0.001254
45,1-classify,fast-car,115,7,0.00015
45,2-extract,race-car,98,20,0.000594
45,3-draft,race-car,142,302,0.004956
45,4-check,race-car,385,5,0.00123
46,1-classify,fast-car,78,7,0.00011300000000000001
46,2-extract,fast-car,61,17,0.000146
46,3-draft,fast-car,102,63,0.000417
46,4-check,fast-car,109,5,0.000134
47,1-classify,fast-car,77,7,0.00011200000000000001
47,2-extract,fast-car,60,16,0.00014
47,3-draft,fast-car,100,76,0.00048
47,4-check,fast-car,121,5,0.000146
48,1-classify,fast-car,84,7,0.00011899999999999999
48,2-extract,fast-car,67,16,0.000147
48,3-draft,fast-car,107,71,0.000462
48,4-check,fast-car,123,44,0.000343
49,1-classify,fast-car,83,7,0.000118
49,2-extract,fast-car,66,17,0.00015099999999999998
49,3-draft,fast-car,107,80,0.0005070000000000001
49,4-check,fast-car,131,5,0.000156
50,1-classify,fast-car,85,7,0.00011999999999999999
50,2-extract,fast-car,68,16,0.00014800000000000002
50,3-draft,fast-car,108,70,0.0004580000000000001
50,4-check,fast-car,123,5,0.000148
