message_id,step,model,prompt_tokens,completion_tokens,cost_usd
17,3-draft,race-car,103,123,0.002154
17,4-check,race-car,175,5,0.0006
18,1-classify,race-car,79,7,0.000342
18,2-extract,race-car,62,16,0.000426
18,3-draft,race-car,94,100,0.0017820000000000002
18,4-check,race-car,147,5,0.000516
19,1-classify,race-car,82,7,0.000351
19,2-extract,race-car,65,16,0.000435
19,3-draft,race-car,97,114,0.002001
19,4-check,race-car,164,5,0.000567
20,1-classify,race-car,83,7,0.000354
20,2-extract,race-car,66,16,0.000438
20,3-draft,race-car,98,113,0.0019890000000000003
20,4-check,race-car,164,5,0.000567
21,1-classify,race-car,150,7,0.0005549999999999999
21,2-extract,race-car,133,31,0.000864
21,3-draft,race-car,180,139,0.002625
21,4-check,race-car,257,5,0.000846
22,1-classify,race-car,142,7,0.000531
22,2-extract,race-car,125,20,0.000675
22,3-draft,race-car,161,123,0.002328
22,4-check,race-car,233,5,0.000774
23,1-classify,race-car,122,7,0.000471
23,2-extract,race-car,105,19,0.0006000000000000001
23,3-draft,race-car,140,151,0.002685
23,4-check,race-car,241,69,0.001758
24,1-classify,race-car,104,7,0.000417
24,2-extract,race-car,87,19,0.000546
24,3-draft,race-car,122,142,0.002496
24,4-check,race-car,214,82,0.001872
25,1-classify,race-car,113,7,0.000444
25,2-extract,race-car,96,22,0.0006180000000000001
25,3-draft,race-car,134,162,0.002832
25,4-check,race-car,243,54,0.001539
26,1-classify,race-car,75,7,0.00033
26,2-extract,race-car,58,16,0.000414
26,3-draft,race-car,90,122,0.0021
26,4-check,race-car,165,5,0.00057
27,1-classify,race-car,73,7,0.000324
27,2-extract,race-car,56,16,0.00040800000000000005
27,3-draft,race-car,88,105,0.001839
27,4-check,race-car,146,5,0.000513
28,1-classify,race-car,77,7,0.00033600000000000004
28,2-extract,race-car,60,16,0.00042
28,3-draft,race-car,92,96,0.001716
28,4-check,race-car,141,5,0.0004980000000000001
29,1-classify,race-car,70,7,0.000315
29,2-extract,race-car,53,16,0.00039900000000000005
29,3-draft,race-car,85,132,0.002235
29,4-check,race-car,170,8,0.00063
30,1-classify,race-car,78,7,0.000339
30,2-extract,race-car,61,16,0.000423
30,3-draft,race-car,93,124,0.0021390000000000003
30,4-check,race-car,170,5,0.000585
31,1-classify,race-car,75,50,0.000975
31,2-extract,race-car,58,16,0.000414
31,3-draft,race-car,133,96,0.0018390000000000001
31,4-check,race-car,139,5,0.000492
32,1-classify,race-car,78,7,0.000339
32,2-extract,race-car,61,19,0.000468
32,3-draft,race-car,96,111,0.001953
32,4-check,race-car,157,5,0.000546
33,1-classify,race-car,75,7,0.00033
33,2-extract,race-car,58,18,0.000444
33,3-draft,race-car,92,108,0.0018960000000000001
33,4-check,race-car,151,5,0.000528
34,1-classify,race-car,87,7,0.000366
34,2-extract,race-car,70,16,0.00045
34,3-draft,race-car,102,120,0.002106
34,4-check,race-car,175,5,0.0006
35,1-classify,race-car,72,7,0.000321
35,2-extract,race-car,55,16,0.000405
35,3-draft,race-car,87,107,0.001866
35,4-check,race-car,147,5,0.000516
36,1-classify,race-car,82,7,0.000351
36,2-extract,race-car,65,16,0.000435
36,3-draft,race-car,97,108,0.0019110000000000002
36,4-check,race-car,158,5,0.000549
37,1-classify,race-car,88,7,0.000369
37,2-extract,race-car,71,16,0.000453
37,3-draft,race-car,103,111,0.001974
37,4-check,race-car,167,5,0.000576
38,1-classify,race-car,84,7,0.000357
38,2-extract,race-car,67,16,0.000441
38,3-draft,race-car,99,112,0.001977
38,4-check,race-car,164,5,0.000567
39,1-classify,race-car,80,7,0.00034500000000000004
39,2-extract,race-car,63,16,0.000429
39,3-draft,race-car,95,115,0.00201
39,4-check,race-car,163,5,0.0005639999999999999
40,1-classify,race-car,83,7,0.000354
40,2-extract,race-car,66,18,0.000468
40,3-draft,race-car,100,119,0.002085
40,4-check,race-car,170,5,0.000585
41,1-classify,race-car,129,7,0.000492
41,2-extract,race-car,112,18,0.000606
41,3-draft,race-car,146,127,0.002343
41,4-check,race-car,224,5,0.000747
42,1-classify,race-car,138,39,0.000999
42,2-extract,race-car,121,17,0.0006180000000000001
42,3-draft,race-car,186,138,0.002628
42,4-check,race-car,244,5,0.000807
43,1-classify,race-car,119,7,0.000462
43,2-extract,race-car,102,16,0.000546
43,3-draft,race-car,134,181,0.003117
43,4-check,race-car,268,51,0.001569
44,1-classify,race-car,115,7,0.00045
44,2-extract,race-car,98,19,0.000579
44,3-draft,race-car,133,150,0.0026490000000000003
44,4-check,race-car,233,68,0.001719
45,1-classify,race-car,115,7,0.00045
45,2-extract,race-car,98,19,0.000579
45,3-draft,race-car,133,158,0.002769
45,4-check,race-car,241,92,0.002103
46,1-classify,race-car,78,7,0.000339
46,2-extract,race-car,61,16,0.000423
46,3-draft,race-car,93,120,0.002079
46,4-check,race-car,166,5,0.0005729999999999999
47,1-classify,race-car,77,7,0.00033600000000000004
47,2-extract,race-car,60,16,0.00042
47,3-draft,race-car,92,96,0.001716
47,4-check,race-car,141,5,0.0004980000000000001
48,1-classify,race-car,84,7,0.000357
48,2-extract,race-car,67,16,0.000441
48,3-draft,race-car,99,99,0.001782
48,4-check,race-car,151,110,0.002103
49,1-classify,race-car,83,7,0.000354
49,2-extract,race-car,66,17,0.00045300000000000006
49,3-draft,race-car,99,96,0.001737
49,4-check,race-car,147,5,0.000516
50,1-classify,race-car,85,7,0.00036
50,2-extract,race-car,68,16,0.000444
50,3-draft,race-car,100,109,0.001935
50,4-check,race-car,162,5,0.000561
